AnimalType,Name,SpecificBreed,PrimaryBreed,PrimaryColour,De-sexed,Gender,Age,Locality
D         ,Mario,BOXER     ,BOXER ,Red       ,Y,M,10,BUDERIM
D         ,Tawa,STAFFRDBT ,STAFFR,Brindle   ,Y,M,12,BUDERIM
D         ,Amy,COLLBORDR ,COLLBO,BlackWhite,Y,F,4,PEACHESTER
Cat       ,Pania,BURMESE   ,BURMES,Chocolate ,Y,F,3,PEREGIAN SPRINGS
D         ,CC,BULLARAB  ,BULLAR,BlackWhite,Y,F,4,DICKY BEACH
D         ,Kodah,STAFFRDBT ,STAFFR,Black     ,Y,M,6,VALDORA
Cat       ,Tiger Lilly,TABBY     ,TABBY ,GreyBlack ,Y,F,12,VALDORA
D         ,Ivy,STAFFRDBT ,STAFFR,BlackBrind,Y,F,5,BUDERIM
D         ,Jesse,MALTESEX  ,MALTES,TriColour ,Y,M,3,BUDERIM
D         ,Emmy,KELPIEAUS ,KELPIE,BlackTan  ,Y,F,4,KUREELPA
D         ,Bronx Brown,LABRADORX ,LABRAD,Brown     ,Y,M,5,COOLUM BEACH
D         ,Stardust,KELPIEAUS ,KELPIE,Black     ,Y,F,11,YANDINA
D         ,Baxter,TERRIERYK ,TERRIE,GreyTan   ,Y,M,7,MOOLOOLABA
Cat       ,Gypsy,DOMSH     ,DOMSH ,BlackWhite,Y,M,3,LITTLE MOUNTAIN
D         ,Ollie,MALTESE   ,MALTES,White     ,Y,M,5,SIPPY DOWNS
D         ,Bella,POODLETOY ,POODLE,Black     ,Y,F,7,DOONAN
D         ,Charlie,MALTESEX  ,MALTES,White     ,Y,M,5,PELICAN WATERS
D         ,Enzo,DACHSHUND ,DACHSH,Tan       ,Y,M,4,CALOUNDRA WEST
D         ,Hunter,BULLMASTF ,BULLMA,Honey     ,N,M,3,MARCOOLA
D         ,Professor Oliver Puddles,SPANIELCK ,SPANIE,BlackGrey ,N,M,4,BUDERIM
D         ,Roxy,STAFFRDBTX,STAFFR,Tan       ,Y,F,12,WARANA
Cat       ,Teddy,SEMI LONG ,SEMI L,Grey      ,Y,M,4,NAMBOUR
D         ,Siggy,RETRIEVGDX,RETRIE,Yellow    ,Y,M,7,PEREGIAN SPRINGS
D         ,Maizi,MALTESEX  ,MALTES,WhiteTan  ,Y,F,9,MUDJIMBA
D         ,Ellie Listama,DACHSHUNDM,DACHSH,Tan       ,Y,F,4,BLI BLI
Cat       ,Maisie,RAGDOLL   ,RAGDOL,White     ,Y,F,4,BUDERIM
D         ,Cooper,POODLEX   ,POODLE,Cream     ,Y,M,6,BUDERIM
D         ,Monty Marsh,JACKRUSSLX,JACKRU,TriColour ,Y,M,3,WURTULLA
D         ,Tux,COLLBORDRX,COLLBO,BlackWhite,Y,M,11,BUDDINA
D         ,Cali,SPANIELCV ,SPANIE,Tan       ,Y,F,5,CALOUNDRA WEST
D         ,Harper,POINTRGSH ,POINTR,BrownWhite,Y,F,3,PALMWOODS
D         ,Bowie Sapa Stardust,GERMNSHEP ,GERMNS,BlackTan  ,Y,F,4,MINYAMA
Cat       ,Millie,DOMSH     ,DOMSH ,Black     ,Y,F,3,BUDERIM
D         ,Thor Deacon Harris Martinelli,CHIHUAHLHX,CHIHUA,BlackWhite,Y,M,4,PALMVIEW
D         ,Dash,CAVOODLE  ,CAVOOD,White     ,Y,M,11,MALENY
D         ,Coco,LABRADOODL,LABRAD,Brown     ,Y,F,9,TWIN WATERS
D         ,Missy,PUGX      ,PUG,BlackWhite,Y,F,7,CALOUNDRA WEST
D         ,Rusty,KELPIEAUSX,KELPIE,Brown     ,Y,M,8,MOUNTAIN CREEK
D         ,Bonnie,CAVOODLE  ,CAVOOD,Black     ,Y,F,8,
Cat       ,Will,TABBY     ,TABBY ,Black     ,Y,M,11,MOOLOOLABA
D         ,Tillie,STAFFRDBT ,STAFFR,Blue      ,Y,F,3,WARANA
Cat       ,Opal,RUSSIANBLX,RUSSIA,Black     ,Y,F,3,LANDSBOROUGH
Cat       ,Mica,SIAMESE   ,SIAMES,WhiteGrey ,Y,M,5,PEREGIAN SPRINGS
D         ,Ebony,ROTTWEILR ,ROTTWE,BlackTan  ,Y,F,4,MAROOCHYDORE
Cat       ,Mishka,DOMSH     ,DOMSH ,WhiteBlack,Y,F,4,LITTLE MOUNTAIN
D         ,Lotty,STAFFRDBTX,STAFFR,Brindle   ,Y,F,6,FOREST GLEN
D         ,Cherish,MALTESE   ,MALTES,White     ,Y,F,5,WOOMBYE
D         ,Rocket,PUGX      ,PUG,Apricot   ,Y,M,4,NAMBOUR
D         ,Hugo,COLLBORDRX,COLLBO,Black     ,Y,M,3,COOLUM BEACH
D         ,Lucy,CORGI     ,CORGI ,BlackWhite,Y,F,4,BLI BLI
D         ,Pippy,KELPIEAUSX,KELPIE,Black     ,Y,F,4,PELICAN WATERS
D         ,Barney,LABRADOR  ,LABRAD,BeigeWhite,Y,M,4,MALENY
Cat       ,Harry,DOMSH     ,DOMSH ,BlackWhite,Y,M,4,SIPPY DOWNS
D         ,Ricky,STAFFRDBTX,STAFFR,TanWhite  ,Y,M,4,BARINGA
D         ,Gunnis Lake Smart Cookie,LABRADOR  ,LABRAD,Yellow    ,Y,M,4,MOUNTAIN CREEK
D         ,Bosco,RIDGEBACK ,RIDGEB,Wheaten   ,Y,M,4,BUDERIM
D         ,Jacko,CATTLEDOGX,CATTLE,Blue      ,Y,M,4,PEACHESTER
D         ,Banjo Gorlick,LABRADOR  ,LABRAD,Yellow    ,Y,M,3,CURRIMUNDI
D         ,Naeco,SPOODLE   ,SPOODL,Blonde    ,Y,M,3,MOUNTAIN CREEK
D         ,Burny,RIDGEBACKX,RIDGEB,BlackBrinW,Y,F,6,LITTLE MOUNTAIN
Cat       ,Storm,TABBY     ,TABBY ,Grey      ,Y,F,4,BUDERIM
Cat       ,Hamish,DOMSH     ,DOMSH ,Champagne ,Y,M,3,DIDDILLIBAH
D         ,Nitro,BOXERX    ,BOXER,BrindlWhit,Y,M,5,BEERWAH
Cat       ,Oreo,RUSSIANBLX,RUSSIA,Black     ,Y,F,3,VERRIERDALE
D         ,Amos,MASTIFFX  ,MASTIF,Tan       ,N,M,4,PERWILLOWEN
Cat       ,Tamara,DOMSH     ,DOMSH ,WhiteGing ,Y,F,3,EERWAH VALE
Cat       ,Tweetie,DOMMH     ,DOMMH ,White     ,Y,F,3,BEERWAH
Cat       ,Bobby,DOMSH     ,DOMSH ,Tabby     ,Y,M,3,YANDINA CREEK
D         ,Fluffy,MAREMMSHP ,MAREMM,White     ,N,F,4,EUMUNDI
